cylinder|1283
light|16565
circle|7608
sphere|5387
disk|5213
fireball|6208
unknown|5584
oval|3733
other|5649
cigar|2057
rectangle|1297
chevron|952
triangle|7865
formation|2457
|1932
delta|7
changing|1962
egg|759
diamond|1178
flash|1328
teardrop|750
cone|316
cross|233
pyramid|1
round|2
crescent|2
flare|1
hexagon|1
dome|1
changed|1
